"cliente_nome","tipo_transacao_nome","tipo_transacao_valor"
"Alceste Felgueiras","Crédito",8.35
"Lázaro Veiga","Crédito",8.37
"Quintino Tavares","Crédito",8.52
"Solange Negromonte","Crédito",8.57
"Lúcio Villégas","Crédito",8.60
"Zacarias Domínguez","Crédito",8.95
"Valentina Bivar","Crédito",9.12
"Palmira Neiva","Crédito",9.21
"Aniana Faia","Crédito",9.29
"Teresa Fiestas","Crédito",9.46
"Deolindo Azeredo","Crédito",9.55
"Carolina Torres","Crédito",9.60
"Natália Bezerra","Crédito",9.64
"Flor Castilhos","Crédito",9.82
"Evandro Lobo","Crédito",9.88
"Astolfo Viera","Crédito",10.05
"Minervina Blanco","Crédito",10.05
"Diógenes Pimienta","Crédito",10.33
"Liedson Dias","Crédito",10.49
"Sancho Cardin","Crédito",11.08
"Zacarias Varela","Crédito",11.16
"Patrícia Meira","Crédito",11.17
"Milu Velásquez","Crédito",11.44
"Luís Rivas","Crédito",11.67
"Greice Rico","Crédito",11.99
"Teodoro Almeyda","Crédito",12.02
"Astolfo Telles","Crédito",12.46
"Clementina Alvim","Crédito",12.58
"Dália Villégas","Crédito",12.60
"Irene Mortágua","Crédito",12.82
"Bernardina Moita","Crédito",13.00
"Mileide Marroquim","Crédito",13.02
"Zuleica Larangeira","Crédito",13.17
"Ofélia Fróis","Crédito",13.18
"Natacha Vásquez","Crédito",13.26
"Edgar Gallindo","Crédito",13.30
"Eloi Casqueira","Crédito",13.57
"Vanda Viegas","Crédito",13.60
"Ubiratã Camello","Crédito",13.87
"Laís Belchiorinho","Crédito",13.91
"Aurélia Noronha","Crédito",13.93
"Ubirajara Siqueira","Crédito",14.17
"Miriam Tévez","Crédito",14.29
"Hermenegildo Sosa","Crédito",14.41
"Guiomar Vale","Crédito",14.43
"Célia Alancastre","Crédito",14.54
"Romano Mena","Crédito",14.56
"Eva Cunha","Crédito",14.78
"Ilduara Bulhão","Crédito",15.01
"Eugénio Góis","Crédito",15.21
"Beatriz Pari","Crédito",15.53
"Vicente Quintela","Crédito",15.69
"Belchior Tomé","Crédito",15.71
"Selma Rúa","Crédito",15.81
"Alarico Pino","Crédito",15.93
"Gláucia Salguero","Crédito",16.07
"Lúcio Villégas","Crédito",16.30
"Valério Cordeiro","Crédito",16.39
"Paulina Quiroga","Crédito",16.61
"Alzira Mesquita","Crédito",16.82
"Guilherme Sacadura","Crédito",16.83
"Beatriz Oleiro","Crédito",17.07
"Delfim Fiestas","Crédito",17.10
"Clara Lameira","Crédito",17.58
"Belmifer Ferrón","Crédito",17.86
"Magali Nolasco","Crédito",17.94
"Natacha Vásquez","Crédito",17.94
"Filipe Quental","Crédito",18.07
"Alarico Tibiriçá","Crédito",18.19
"Ifigénia Figueiredo","Crédito",18.65
"Levindo Duarte","Crédito",18.76
"Mafalda Tristão","Crédito",18.77
"Virgílio Igrejas","Crédito",18.83
"Ginéculo Pinho","Crédito",18.90
"Xavier Ornellas","Crédito",19.00
"Jerónimo, Jerônimo Cantanhede","Crédito",19.27
"Ivete Pardo","Crédito",19.28
"Solano Alvim","Crédito",19.30
"Rosalinda Damazio","Crédito",19.49
"Vasco Fuentes","Crédito",19.55
"Albino Seixas","Crédito",19.67
"Elba Simão","Crédito",19.68
"Adriano Cambezes","Crédito",20.53
"Armanda Malheiro","Crédito",20.59
"Viridiana Thamily","Crédito",20.76
"Hélia Espírito Santo","Crédito",20.80
"Romão Collares","Crédito",20.89
"Hugo Silveira dos Açores","Crédito",21.49
"Flor Leite","Crédito",21.53
"Flor Castilhos","Crédito",21.63
"Simone Nobre","Crédito",21.68
"Renan Grande","Crédito",21.95
"Alexandre Carneiro","Crédito",22.28
"Bruna Soeiro","Crédito",22.31
"Valdeci Figueiró","Crédito",22.35
"Denise Bogalho","Crédito",22.57
"Zuleica Larangeira","Crédito",22.95
"Esmeralda Froes","Crédito",23.20
"Lídia Assumpção","Crédito",23.29
"Alberta Araripe","Crédito",23.29
"Belchior Tomé","Crédito",23.40
"Emílio Vega","Crédito",23.91
"Doroteia Souza","Crédito",24.51
"Leônidas   Brandán","Crédito",24.71
"Alzira Semedo","Crédito",24.76
"Camila Paranaguá","Crédito",25.03
"Adelaide Ruela","Crédito",25.06
"Elvira Vidal","Crédito",25.23
"Casimiro Granjeia","Crédito",25.27
"Esperança Quinterno","Crédito",25.52
"Raquel Guzmán","Crédito",25.58
"Nídia Valerio","Crédito",25.98
"Honório Sobreira","Crédito",26.24
"Gerson Portela","Crédito",26.30
"Filipe Quinzeiro","Crédito",26.30
"Julieta Negromonte","Crédito",26.33
"Leonel Rúa","Crédito",26.92
"Viriato Barata","Crédito",27.10
"Simeão Simões","Crédito",27.59
"Adalberto Cerqueira","Crédito",27.63
"Ilídio Carmona","Crédito",27.75
"Artur Olaio","Crédito",27.78
"Laís Holanda","Crédito",27.89
"Veríssimo Sobreira","Crédito",28.03
"Gláuber Azenha","Crédito",28.29
"Frutuoso Neres","Crédito",28.46
"Marcos Travassos","Crédito",28.80
"Sonás Ríos","Crédito",29.17
"Danilo Caminha","Crédito",29.24
"Gil Magalhães","Crédito",29.36
"Constantino Guimaraes","Crédito",29.97
"Caím Quintão","Crédito",30.17
"Eládio Ferrão","Crédito",30.20
"Floripes Vargas","Crédito",30.27
"Flamínia Valentín","Crédito",30.44
"Eurico Santos","Crédito",30.86
"Tália Guedelha","Crédito",30.93
"Flávio Villas Boas","Crédito",31.05
"Alexandra Ramírez","Crédito",31.11
"Elvira Guimarães","Crédito",31.29
"Márcia Carreiro","Crédito",31.38
"Susana Noguera","Crédito",31.48
"Hugo Silveira dos Açores","Crédito",31.57
"Quitéria Vilarim","Crédito",31.86
"Odete Taborda","Crédito",32.50
"Políbio Campelo","Crédito",32.51
"Bernardete Pequeno","Crédito",32.66
"Nicolau Barcellos","Crédito",32.69
"Poliana Flores","Crédito",33.17
"Marli Morales","Crédito",33.21
"Tarrataca Thomé","Crédito",33.36
"Anita Alcaide","Crédito",33.53
"Rosaura Caldas","Crédito",33.71
"Geraldo Meneses","Crédito",33.90
"Edite Guaraná","Crédito",34.05
"Rogério Carmona","Crédito",34.24
"Caím Quintão","Crédito",34.28
"Cláudio Amorín","Crédito",34.31
"Hermesinda Lisboa","Crédito",34.89
"Óscar Antúnez","Crédito",35.43
"Susana Fragoso","Crédito",35.97
"Verónica Anlicoara","Crédito",36.10
"Minervina Castelão","Crédito",36.32
"Jamari Naves","Crédito",36.55
"Lázaro Veiga","Crédito",36.61
"Abigail Belém","Crédito",36.62
"Astolfo Guedes","Crédito",36.63
"Ludovico Carrasco","Crédito",37.03
"Delfim Varanda","Crédito",37.32
"Ildefonso Castellano","Crédito",37.32
"Ximeno Valentín","Crédito",37.51
"Mónica Fialho","Crédito",37.91
"Aurélia Foquiço","Crédito",37.91
"Pascoal Teles","Crédito",37.95
"Eduardo Rua","Crédito",38.38
"Tomé Cezimbra","Crédito",38.39
"Tobias Bacelar","Crédito",38.61
"Balduíno Grilo","Crédito",38.65
"Talita Grillo","Crédito",38.86
"Gaudêncio Valim","Crédito",39.30
"Lavínia Higuera","Crédito",39.31
"Deolindo Motta","Crédito",39.48
"Florêncio Palmeira","Crédito",40.16
"Brígida Aveiro","Crédito",40.29
"Fábio Villaverde","Crédito",40.40
"Emílio Morais","Crédito",40.51
"Alcides Borba","Crédito",40.81
"Célia Guerreiro","Crédito",40.97
"Paulina Quiroga","Crédito",41.04
"Eduarda Corvelo","Crédito",41.05
"Paraguaçu Louzada","Crédito",41.23
"Aldonça Osório","Crédito",41.35
"Virgílio Igrejas","Crédito",41.45
"Gilda Franca","Crédito",41.93
"Ubiratã Marmou","Crédito",42.01
"Jacinto Galvão","Crédito",42.22
"Zenaide Peçanha","Crédito",42.26
"Ítalo Cysneiros","Crédito",42.30
"Gerusa Zarco","Crédito",42.35
"Moisés Jardim","Crédito",42.40
"Camila Orriça","Crédito",42.45
"Ágata Carvalhaes","Crédito",42.65
"Vitória Picanço","Crédito",42.74
"Alarico Tibiriçá","Crédito",43.03
"Ximena Calheiros","Crédito",43.05
"Célia Rufino","Crédito",43.07
"Heriberto Murtinho","Crédito",43.27
"Solano Alvim","Crédito",43.38
"Bernardete Frota","Crédito",43.59
"Milu Carvalheira","Crédito",43.88
"Gil Estrada","Crédito",43.94
"Marli Gusmão","Crédito",44.04
"Gonçalo Jesus","Crédito",44.40
"Quintiliano Vieyra","Crédito",44.71
"Hugo Arouca","Crédito",44.75
"Gaudêncio Diniz","Crédito",44.82
"Salomão Carijó","Crédito",44.84
"Ivete Pardo","Crédito",45.27
"Umbelina Neves","Crédito",45.44
"Félix Thomé","Crédito",45.72
"Silvério Bento","Crédito",46.45
"Mário Malta","Crédito",46.96
"Timóteo Álvarez","Crédito",47.12
"Zidane Faro","Crédito",47.21
"Flávio Teles","Crédito",48.28
"Piedade Cordeiro","Crédito",48.46
"Juliano Rodrigues","Crédito",48.82
"Domingas Canejo","Crédito",49.27
"Hermenegildo Saraiva","Crédito",49.60
"Iberê Siqueira","Crédito",49.86
"Guálter, Walter Cerqueira","Crédito",50.39
"Tibúrcio Montero","Crédito",50.45
"Alice Corte-Real","Crédito",50.54
"Adélia Sobral","Crédito",50.88
"Siquenique Teves","Crédito",50.96
"Bernardo Guterres","Crédito",51.17
"Márcia Caneira","Crédito",51.39
"Palmiro Neres","Crédito",51.46
"Luzia Rivas","Crédito",51.49
"Raoni Thamily","Crédito",51.93
"Xisto Castro","Crédito",52.03
"Tércio Quirós","Crédito",52.09
"Lucílio Chagas","Crédito",52.11
"Burtira Franca","Crédito",52.12
"Eudes Matos","Crédito",52.20
"Fausto Losada","Crédito",52.24
"Carlos Cairu","Crédito",52.40
"Lídia Meneses","Crédito",52.42
"Inês Granjeiro","Crédito",52.59
"Agostinho Estévez","Crédito",52.79
"Aarão Valentín","Crédito",52.89
"Benedita Portugal","Crédito",52.98
"Adélia Viana","Crédito",53.12
"Lineu Abasto","Crédito",53.44
"Américo Reis","Crédito",53.76
"Judá Villar","Crédito",53.86
"Palmiro Neres","Crédito",53.89
"Catarino Boaventura","Crédito",53.89
"Hipólito Velasco","Crédito",54.39
"Cesário Brião","Crédito",54.68
"Marcos Simas","Crédito",54.79
"Ulrico Cysneiros","Crédito",55.21
"Apoena Javier","Crédito",55.42
"Gabriela Sabala","Crédito",55.45
"Suniário Souto","Crédito",55.47
"Emídio Veríssimo","Crédito",55.48
"Juçara Cabeça de Vaca","Crédito",55.90
"Crispim Querino","Crédito",56.22
"Carine Beserril","Crédito",56.26
"Solano Castelão","Crédito",56.27
"Romão Collares","Crédito",57.37
"Roseli Salomão","Crédito",57.51
"Blasco Amorim","Crédito",57.52
"Clementina Gabeira","Crédito",57.57
"Bernardete Casquero","Crédito",57.67
"Fausto Losada","Crédito",57.99
"Crispim Quiroga","Crédito",58.07
"Hugo Arouca","Crédito",58.27
"Lázaro Veiga","Crédito",58.32
"Valdeci Pirajá","Crédito",58.95
"Sebastião Jaguaribe","Crédito",59.28
"Luís Rivas","Crédito",59.50
"Cora Cavadas","Crédito",59.51
"Laís Belchiorinho","Crédito",59.81
"Augusta Prada","Crédito",59.82
"Tália Guedelha","Crédito",59.83
"Brígida Portella","Crédito",59.98
"Lavínia Peçanha","Crédito",60.45
"Nazaré Quintanilha","Crédito",60.51
"Sancho Cardin","Crédito",60.81
"Milu Loureiro","Crédito",61.00
"Brás Beserra","Crédito",61.12
"Rudá Blanco","Crédito",61.33
"Emílio Vega","Crédito",61.38
"Roberta Guerrero","Crédito",61.42
"Clarindo Mendonça","Crédito",61.43
"Gilda Franca","Crédito",61.64
"Judas Gorjão","Crédito",61.78
"Renan Grande","Crédito",61.79
"Eva Collares","Crédito",61.96
"Jacir Félix","Crédito",62.07
"Adosindo Suaçuna","Crédito",62.24
"Sebastião Guimaraes","Crédito",62.25
"Marcos Lemes","Crédito",62.70
"Mateus Gómez","Crédito",62.78
"Josias Viégas","Crédito",62.92
"Vanda Barbosa","Crédito",63.17
"Alberta Amaro","Crédito",63.21
"Maíra Canário","Crédito",63.44
"Neusa Castella","Crédito",63.56
"Jandira Castaño","Crédito",63.57
"Noel Cipriano","Crédito",63.73
"Corina Uchoa","Crédito",63.97
"Adélia Cezar","Crédito",64.20
"Eudes Matos","Crédito",64.42
"Rosalinda Damazio","Crédito",64.54
"Floripes Gouveia","Crédito",64.84
"Glauco Queirós","Crédito",65.17
"Verónica Guedes","Crédito",65.22
"Elias Ipanema","Crédito",65.34
"Flor Leite","Crédito",65.47
"Ovídio Azenha","Crédito",65.63
"Godofredo Noite","Crédito",65.78
"Ubaldo Cordero","Crédito",65.94
"Nazaré Quintanilha","Crédito",66.11
"Milu Loureiro","Crédito",66.41
"Borrás Monsanto","Crédito",66.41
"Roque Rios","Crédito",66.42
"Emílio Macena","Crédito",66.54
"Godinho ou Godim Felgueiras","Crédito",66.64
"Zubaida Barreto","Crédito",67.06
"Andreia Villas Bôas","Crédito",67.27
"Mara Vilar","Crédito",67.29
"Tibúrcio Soeiro","Crédito",67.30
"Hermenegildo Sosa","Crédito",67.42
"Adélia Viana","Crédito",67.60
"Gabriela Anjos","Crédito",67.76
"Collin Capucho","Crédito",67.78
"Caetano Gentil","Crédito",68.03
"Olga Blanco","Crédito",68.08
"Honorina Lousado","Crédito",68.08
"Rufus Fróis","Crédito",68.37
"Luciana Câmara","Crédito",68.56
"Quitério Galvão","Crédito",68.94
"Salvador Dias","Crédito",68.94
"Florbela Ferraz","Crédito",69.05
"Zita Caneira","Crédito",69.17
"Teresina Cervera","Crédito",69.18
"Palmira Foquiço","Crédito",69.30
"Oscar   Fontoura","Crédito",69.41
"Maíra Canário","Crédito",69.43
"Mariana Albuquerque","Crédito",69.44
"Minervina Castelão","Crédito",69.86
"Isidro Caminha","Crédito",70.04
"Quintilien Robalo","Crédito",70.31
"Anita Alcaide","Crédito",70.48
"Fernanda Cantanhede","Crédito",70.73
"Gaudêncio Diniz","Crédito",70.73
"Natividade Maior","Crédito",70.95
"Minervina Leal","Crédito",70.98
"Mariano Albuquerque","Crédito",71.06
"Estefânia Macieira","Crédito",71.13
"Simeão Simões","Crédito",71.55
"Susana Noguera","Crédito",71.62
"Rômulo   Piñero","Crédito",71.69
"Cauê Caetano","Crédito",71.77
"Hélia Fortunato","Crédito",71.93
"Débora Quaresma","Crédito",72.09
"Valério Cordeiro","Crédito",72.15
"Joaquina Aragão","Crédito",72.58
"Dorindo Faustino","Crédito",72.80
"Almor Camello","Crédito",73.36
"Otávio Regueira","Crédito",73.73
"Rebeca Pérez","Crédito",73.99
"Hernâni Bethancout","Crédito",74.07
"Heriberto Murtinho","Crédito",74.19
"Amandio Castillo","Crédito",74.35
"Romano Mena","Crédito",74.61
"Carlos Cairu","Crédito",75.07
"Frederica Freitas","Crédito",75.31
"Belchior Gracia","Crédito",75.63
"Mileide Semedo","Crédito",75.83
"Amália Soeiro","Crédito",76.01
"Pedro Castelo Branco","Crédito",76.29
"Armando Valle","Crédito",76.54
"Anacleto Vilarim","Crédito",76.60
"Paraguaçu Carijó","Crédito",76.62
"Boaventura Ataí","Crédito",77.00
"Isadora Blanco","Crédito",77.13
"Brígida Portella","Crédito",77.24
"Nicolas Távora","Crédito",77.48
"Sabrina SantAnna","Crédito",77.48
"Alípio Canela","Crédito",77.51
"Artur Portella","Crédito",77.81
"Ricardina Fuentes","Crédito",78.03
"Xisto Dornelles","Crédito",78.11
"Sabino Tévez","Crédito",79.06
"Xavier Ornellas","Crédito",79.21
"Zoe Valentín","Crédito",79.46
"Augusto Curado","Crédito",79.54
"Nestor Castelbranco","Crédito",79.68
"Alberto Caneira","Crédito",79.77
"Guadalupe Albernaz","Crédito",80.00
"Palmiro Freitas","Crédito",80.42
"Leonel Rúa","Crédito",80.65
"Ítala Collares","Crédito",80.78
"Délia Valladares","Crédito",80.79
"Cosperranho Carreiro","Crédito",80.87
"Célia Rufino","Crédito",81.18
"Aniano Núñez","Crédito",81.47
"Alexandre Azenha","Crédito",81.54
"Manuel Souto","Crédito",81.64
"Eduardo Aguiar","Crédito",81.70
"Henriqueta Estévez","Crédito",81.75
"Adérito Pedrozo","Crédito",81.76
"Godo Clementino","Crédito",81.96
"Carine Beserril","Crédito",82.21
"Aline Braga","Crédito",82.29
"Benedita Pacheco","Crédito",82.32
"Sandra Silveira","Crédito",82.88
"Angélico Santana","Crédito",82.94
"Daniela Rijo","Crédito",82.96
"Gaudêncio Tavares","Crédito",83.39
"Denise Castello Branco","Crédito",83.42
"Quintiliano Peláez","Crédito",83.42
"Roseli Bento","Crédito",83.69
"Simeão Quirino","Crédito",83.74
"Damião Robalo","Crédito",83.82
"Itiberê Márquez","Crédito",84.36
"Ítala Collares","Empréstimo",0.28
"Hipólito Velasco","Empréstimo",1.53
"Roberta Guerrero","Empréstimo",1.84
"Jerónimo, Jerônimo Cantanhede","Empréstimo",8.72
"Carolina Torres","Empréstimo",9.10
"Damião Robalo","Empréstimo",9.43
"Luís Rivas","Empréstimo",13.65
"Viridiana Thamily","Empréstimo",13.77
"Maura Capanema","Empréstimo",14.26
"Natacha Vásquez","Empréstimo",16.02
"Virgílio Alencar","Empréstimo",16.31
"Gil Magalhães","Empréstimo",16.86
"Paulina Quiroga","Empréstimo",17.64
"Júlia Quintela","Empréstimo",18.29
"Eloi Casqueira","Empréstimo",18.63
"Jandira Castaño","Empréstimo",22.16
"Clementina Gabeira","Empréstimo",23.91
"Godinho ou Godim Felgueiras","Empréstimo",24.66
"Aurélia Foquiço","Empréstimo",24.95
"Sebastião Jaguaribe","Empréstimo",25.28
"Manuela Carvalhosa","Empréstimo",27.31
"Tália Guedelha","Empréstimo",27.51
"Ofélia Fróis","Empréstimo",27.74
"Nicolas Távora","Empréstimo",28.83
"Teodorico Castelão","Empréstimo",29.13
"Guadalupe Macedo","Empréstimo",29.25
"Adalberto Cerqueira","Empréstimo",29.48
"Veríssimo Sobreira","Empréstimo",30.00
"Honorina Lousado","Empréstimo",31.39
"Anacleto Vilarim","Empréstimo",34.06
"Virgínia Baptista","Empréstimo",35.32
"Gabriela Anjos","Empréstimo",35.51
"Jacinto Galvão","Empréstimo",39.43
"Rudi Coelho","Empréstimo",43.72
"Hugo Godói","Empréstimo",44.17
"Talita Grillo","Empréstimo",44.97
"Camila Paranaguá","Empréstimo",45.65
"Félix Thomé","Empréstimo",46.56
"Cleusa Rabello","Empréstimo",46.84
"Luana Junqueira","Empréstimo",48.28
"Tibúrcio Soeiro","Empréstimo",48.83
"Belchior Tomé","Empréstimo",49.67
"Lúcio Rebouças","Empréstimo",49.82
"Verónica Guedes","Empréstimo",49.97
"Roberta Assumpção","Empréstimo",50.30
"Lavínia Peçanha","Empréstimo",51.09
"Ovídio Azenha","Empréstimo",51.87
"Glauco Vilas-Boas","Empréstimo",52.85
"Catarino Boaventura","Empréstimo",53.33
"Ximena Calheiros","Empréstimo",54.03
"Deolindo Motta","Empréstimo",54.63
"Aldonça Osório","Empréstimo",54.68
"Gabriela Sabala","Empréstimo",55.36
"Alexandre Carneiro","Empréstimo",56.06
"Clara Lameira","Empréstimo",56.38
"Sabino Tévez","Empréstimo",56.83
"Florêncio Palmeira","Empréstimo",56.89
"Hélia Fortunato","Empréstimo",60.51
"Umbelina Neves","Empréstimo",61.01
"Potira Macena","Empréstimo",61.49
"Maíra Canário","Empréstimo",63.07
"Eduardo Aguiar","Empréstimo",63.24
"Vitória Picanço","Empréstimo",64.13
"Aniana Faia","Empréstimo",68.72
"Sonás Ríos","Empréstimo",68.97
"Alarico Tibiriçá","Empréstimo",72.10
"Ilídio Carmona","Empréstimo",73.39
"Bernardo Guterres","Empréstimo",73.44
"Eduarda Corvelo","Empréstimo",73.98
"Valdeci Figueiró","Empréstimo",76.32
"Tibúrcio Soeiro","Débito",0.94
"Virgínia Baptista","Débito",1.61
"Timóteo Doutel","Débito",3.06
"Elvira Guimarães","Débito",3.29
"Oscar   Fontoura","Débito",4.18
"Américo Reis","Débito",4.86
"Irene Mortágua","Débito",6.81
"Selma Rúa","Débito",7.28
"Alexandra Ramírez","Débito",8.81
"Palmiro Neres","Débito",8.99
"Guiomar Vale","Débito",10.36
"Flor Castilhos","Débito",11.26
"Tarrataca Thomé","Débito",14.01
"Armanda Malheiro","Débito",14.13
"Mónica Fialho","Débito",14.22
"Renan Grande","Débito",14.49
"Agostinho Estévez","Débito",14.89
"Delfim Varanda","Débito",15.56
"Brígida Portella","Débito",16.53
"Floripes Gouveia","Débito",17.28
"Nivaldo Ramírez","Débito",17.48
"Dália Villégas","Débito",18.27
"Quintino Tavares","Débito",18.92
"Magali Nolasco","Débito",19.00
"Rômulo   Piñero","Débito",20.10
"Danilo Caminha","Débito",21.03
"Carlos Cairu","Débito",21.61
"Edite Guaraná","Débito",21.94
"Ilídio Carmona","Débito",22.63
"Marlene Pirajá","Débito",23.01
"Camila Orriça","Débito",23.98
"Marcos Travassos","Débito",28.39
"Belchior Gracia","Débito",28.63
"Lavínia Portella","Débito",29.23
"Timóteo Álvarez","Débito",29.60
"Hugo Silveira dos Açores","Débito",31.01
"Paulina Quiroga","Débito",33.22
"Lúcio Villégas","Débito",33.23
"Henriqueta Ignacio","Débito",33.87
"Ubiratã Camello","Débito",37.56
"Selma Rúa","Débito",37.96
"Denise Bogalho","Débito",38.00
"Filipe Quinzeiro","Débito",38.28
"Afonso Bahía","Débito",39.91
"Judá Villar","Débito",41.29
"Laís Belchiorinho","Débito",41.55
"Ruca Boaventura","Débito",41.64
"Emílio Morais","Débito",42.12
"Ximena Calheiros","Débito",42.76
"Ubaldo Cordero","Débito",44.36
"Nicolau Barcellos","Débito",44.47
"Siquenique Taborda","Débito",45.82
"Eloi Casqueira","Débito",46.41
"Artur Olaio","Débito",46.79
"Catarino Boaventura","Débito",47.41
"Brás Beserra","Débito",48.28
"Ulrico Cysneiros","Débito",49.26
"Flor Castilhos","Débito",51.35
"Doroteia Souza","Débito",52.39
"Inês Granjeiro","Débito",52.57
"Hélia Espírito Santo","Débito",52.70
"Rogério Carmona","Débito",52.93
"Zuleica Larangeira","Débito",53.01
"Cosperranho Carreiro","Débito",53.83
"Carlos Cairu","Débito",54.69
"Tomé Cezimbra","Débito",55.45
"Isadora Blanco","Débito",58.02
"Moisés Jardim","Débito",58.12
"Eduarda Corvelo","Débito",58.70
"Pascoal Teles","Débito",60.00
"Flora Murtinho","Débito",60.85
"Laís Belchiorinho","Débito",61.09
"Alcides Borba","Débito",61.10
"Gaudêncio Diniz","Débito",63.77
"Domingas Canejo","Débito",65.21
"Deolindo Azeredo","Débito",66.49
"Ema Butantã","Débito",66.63
"Célia Alancastre","Débito",66.89
"Elba Simão","Débito",66.95
"Blasco Amorim","Débito",67.00
"Cristiano Quinteiro","Débito",67.96
"Odete Taborda","Débito",69.33
"Manuela Morais","Débito",69.56
"Solano Alvim","Débito",70.54
"Ofélia Cerveira","Débito",70.61
"Sidônio   Mena","Débito",71.14
"Beatriz Oleiro","Débito",72.33
"Roseli Salomão","Débito",72.92
"Talita Grillo","Débito",73.22
"Guadalupe Macedo","Débito",73.23
"Verónica Guedes","Débito",73.74
"Luís Rivas","Débito",73.78
"Bernardete Casquero","Débito",76.58
"Judas Gorjão","Débito",76.60
"Eugénio Góis","Débito",77.35
"Roberta Guerrero","Débito",77.45
"Juliano Rodrigues","Débito",78.11
"Eduardo Aguiar","Débito",79.00
"Flor Leite","Débito",80.75
"Evandro Lobo","Débito",81.56
"Verónica Anlicoara","Débito",83.85
"Honório Sobreira","Débito",84.70
"Apoena Javier","Débito",86.72
"Mileide Semedo","Débito",87.56
"Adélia Cezar","Débito",87.72
"Jacinto Galvão","Débito",88.99
"Vasco Fuentes","Débito",89.80
"Aline Braga","Débito",93.53
"Adosindo Suaçuna","Débito",93.91
"Alice Corte-Real","Débito",94.21
"Vicente Quintela","Débito",94.29
"Frederica Freitas","Débito",94.32
"Cauê Caetano","Débito",95.47
"Sílvia Estrella","Débito",95.69
"Ismael Valverde","Débito",96.12
"Teresa Fiestas","Débito",99.20
"Fernanda Cantanhede","Débito",99.93
"Luís Rivas","Débito",101.46
"Elvira Vidal","Débito",101.96
"Gilda Franca","Débito",102.33
"Zidane Faro","Débito",105.15
"Lázaro Veiga","Débito",106.99
"Milu Loureiro","Débito",107.46
"Inês Carvalhais","Débito",107.93
"Gaudêncio Diniz","Débito",108.48
"Hugo Silveira dos Açores","Débito",108.85
"Sabino Tévez","Débito",109.81
"Sebastião Guimaraes","Débito",110.09
"Rúben Alvarenga","Débito",110.25
"Gisela Caiado","Débito",111.21
"Hermenegildo Sosa","Débito",111.92
"Délia Valladares","Débito",113.56
"Minervina Castelão","Débito",114.03
"Alberto Caneira","Débito",115.34
"Salvador Dias","Débito",116.14
"Ximeno Holanda","Débito",117.37
"Lázaro Veiga","Débito",117.62
"Alarico Pino","Débito",118.26
"Xisto Dornelles","Débito",118.48
"Zulmira Toledo","Débito",119.74
"Luís Amaral","Débito",120.32
"Dorindo Faustino","Débito",120.95
"Gil Magalhães","Débito",121.59
"Eduardo Rua","Débito",122.49
"Delfim Fiestas","Débito",123.16
"Bernardete Frota","Débito",123.17
"Joaquina Aragão","Débito",123.37
"Ítalo Caires","Débito",123.88
"Rosalinda Damazio","Débito",124.11
"Esmeralda Froes","Débito",124.24
"Adélia Sobral","Débito",125.43
"Virgílio Igrejas","Débito",125.88
"Jerónimo, Jerônimo Cantanhede","Débito",126.83
"Ágata Carvalhaes","Débito",127.04
"Belchior Tomé","Débito",127.20
"Carlos Cambezes","Débito",127.93
"Florbela Ferraz","Débito",128.99
"Zoe Valentín","Débito",129.51
"Palmiro Freitas","Débito",130.93
"Albino Seixas","Débito",131.27
"Viridiana Thamily","Débito",132.02
"Ilduara Bulhão","Débito",134.06
"Rudá Blanco","Débito",134.58
"Mécia Damásio","Débito",134.78
"Beatriz Pari","Débito",134.88
"Elias Cunha","Débito",135.25
"Abigail Belém","Débito",135.45
"Frutuoso Neres","Débito",135.72
"Fiona Nóbrega","Débito",135.97
"António Cysneiros","Débito",137.34
"Zacarias Varela","Débito",137.99
"Teodoro Almeyda","Débito",138.19
"Juçara Cabeça de Vaca","Débito",139.19
"Vanda Viegas","Débito",139.89
"Joaquina Aragão","Débito",141.11
"Ofélia Fróis","Débito",141.16
"Adérito Pedrozo","Débito",143.21
"Salomão Carijó","Débito",143.76
"Clementina Gabeira","Débito",145.17
"Márcia Carreiro","Débito",145.68
"Geraldo Meneses","Débito",146.27
"Teresina Cervera","Débito",146.70
"Aniana Faia","Débito",149.26
"Júlia Quintela","Débito",150.16
"Hermesinda Lisboa","Débito",150.49
"Zita Caneira","Débito",152.24
"Gilda Franca","Débito",153.64
"Glauco Vilas-Boas","Débito",155.05
"Cristiana Téllez","Débito",155.14
"Mateus Gómez","Débito",156.55
"Minervina Leal","Débito",156.82
"Flávio Teles","Débito",158.06
"Nazaré Quintanilha","Débito",158.06
"Astolfo Viera","Débito",158.40
"Greice Rico","Débito",161.95
"Aldonça Osório","Débito",162.52
"Corina Uchoa","Débito",162.68
"Damião Robalo","Débito",163.82
"Antónia Cidreira","Débito",164.89
"Jandira Castaño","Débito",165.76
"Ismael Uchoa","Débito",166.21
"Paraguaçu Louzada","Débito",169.81
"Zulmira Toledo","Débito",171.10
"Sebastião Jaguaribe","Débito",171.50
"Clarisse Paula","Débito",173.33
"Benedita Portugal","Débito",176.34
"Lineu Abasto","Débito",176.99
"Solano Castelão","Débito",177.05
"Virgílio Alencar","Débito",177.72
"Caím Quintão","Débito",177.79
"Raoni Thamily","Débito",178.07
"Gaudêncio Valim","Débito",179.43
"Mariano Albuquerque","Débito",179.99
"Davide Carneiro","Débito",181.12
"Ximeno Valentín","Débito",182.27
"Bartolomeu Mendoza","Débito",182.32
